"Summary","Created","Updated","Last Viewed","Resolved","Labels","Description"
"Huxley-API-Deploy-CI-WebRole_V2_Main pipeline","22/Aug/25 10:21 AM","25/Aug/25 2:24 PM","","25/Aug/25 2:24 PM","","failing working with Alexey "
"Silverfin","18/Aug/25 9:29 PM","25/Aug/25 11:16 AM","","","","Silverin a MYOB partner has reported two main issues during their migration to TPAM via the AccountRight Public API: (1) Only Administrator users can select company files during the consent flow while normal users cannot proceed despite being able to view them and (2) repeated """"API key has exceeded the per-second rate limit"""" errors when using their new client ID. Troubleshooting to date has involved reviews of usage plans, client ID status, consent flow logic, and Apigee/API traffic routing. Slack Convo: [https://myob.slack.com/archives/CU4FWH6CA/p1755474060673489|https://myob.slack.com/archives/CU4FWH6CA/p1755474060673489|smart-link] h4. Issue 1: Consent Flow & Company File Selection * When performing the consent flow, only users with Administrator permissions can select a company file for authorization. * Normal users can see the list of company files but are blocked from selecting them. There is a related message above the dropdown (possibly for security). * This is a change from previous sandbox testing, where normal users could select company files. * Clarification sought on whether this is intentional for all third-party developers, or a configuration/security issue. h4. Issue 2: API Rate Limiting Errors * Partner receives the error: """"API key has exceeded the per-second rate limit"""", even after switching to a new client ID. * The team is unclear if the rate limit error source is Apigee or internal API enforcement. * New client ID provided: {{567a0735-4f8b-4058-a41b-1acc64341f9f}} * Previous client ID (from older dev environment): {{b7ff1ffc-d833-4ecc-a770-87fa5d78ded3}} (not compatible with new consent flow)"
"SLO alert for 504 (Gateway timeouts)","14/Aug/25 9:57 AM","19/Aug/25 1:51 PM","","19/Aug/25 1:51 PM","","h1. Description Since yesterday (13/08/2025) we began getting SLO alerts for 504 errors. We need to investigate if it’s a real issue (504 errors got worse) and our alerts are incorrectly configured."
"Fletcher Group - provide prod certificate","14/Aug/25 8:41 AM","25/Aug/25 2:25 PM","","25/Aug/25 2:25 PM","","*Value Statement* As Fletcher Building Group is transitioning to Tradelink, for integration purposes they want access to a pre-prod key and a copy of their XML data along with clear insights into how our supplier feed customers are handled, so that we can efficiently test and ensure smooth functionality before going live with the integration. This will help streamline our operations and ensure system compatibility with Tradelink. *Acceptance Criteria* * The prod key is successfully provisioned and provided to Fletcher Building Group for integration testing. * Fletcher Building Group receives a valid copy of their XML data that conforms to the expected format * Documentation or guidelines regarding how supplier feed customers are handled are delivered to Fletcher Building Group and meet their clarity requirements. *Out of Scope* Live production access keys or setup (only pre-prod keys are in scope). * Edits or modifications to the XML data itself beyond standard format validation. * Updates from XML to JSON h3. Tech notes # Integrators guestlist - [https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist|https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist] # Installing new Client Certificate - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] # Cert Expiry Notifier - [https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|smart-link] # Supplier Feed Documentation - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|smart-link] # Contacts can be found in Partner contacts[https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|smart-link]"
"EXP 30 Aug-  Ampol certificate renewal","14/Aug/25 8:15 AM","26/Aug/25 10:09 AM","","26/Aug/25 10:09 AM","","{panel:bgColor=#deebff} Pull ticket into sprint early so we don’t run out of time to contact Supplier {panel} *As* a developer that is a custodian of Supplier Feeds *I want to* renew {{connect-digital-nonprod.ampol.com.au}} for nonprod environment *So that* it doesn’t expire and our relationship with Ampol continues smoothly. h3. In Scope *From Slack channel* Name: [connect-digital-nonprod.ampol.com.au|http://connect-digital-nonprod.ampol.com.au/] Thumbprint: b17aa748bdbd4f194fbc0469e9b781d0db0f1e05 Expiring on: 2025-08-09 09:59:59 +0000 UTC h3. To Do # Request certificate renewal from Ampol. Specifically, ask for the Thumbprint of the certificate. We don’t require the full certificate. *** Ampol we request from them. # Add thumbprint to Integrator’s guestlist. # Team test the certificate. # Add this certificate to the cert expiry notifier. # Update Supplier Feed documentation with its expiry and serial number. # Update any name and email contacts if required. h3. How to test To Do 4: follow Curl command, to receive 400 or 422 for successful. - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] h3. Release strategy # Notify relevant external contacts that prod certificate has been renewed. ## Email 1 notifying team about expiry, that they need to renew the certificate and send us the certificate thumbprint. ## Email 2: notify team that the thumbprint has been added to the Integrator’s guestlist and that they can begin testing. ## Email 3: When notified by the team that testing is successful, notify team that the old thumbprint has been removed from the guestlist. h3. Tech notes # Integrators guestlist - [https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist|https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist] # Installing new Client Certificate - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] # Cert Expiry Notifier - [https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|smart-link] # Supplier Feed Documentation - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|smart-link] # Contacts can be found in Partner contacts[https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|smart-link]"
"Demo/test website is publicly available","11/Aug/25 9:19 AM","13/Aug/25 10:13 AM","","","boltsupport","Website address: [https://developer-myob-website-preprod.svc.platform.myobdev.com/|https://developer-myob-website-preprod.svc.platform.myobdev.com/] This seems like our internal testing site that is public available. This is causing confusion for our clients and third party developers, as they are referring to the outdated content on this website. Please make this website private or decommission if not needed. "
"Supplier Feeds - Misaligned ledger from supplier feeds","08/Aug/25 3:02 PM","19/Aug/25 6:46 AM","","19/Aug/25 6:46 AM","","*As* a developer *I want* to ensure that all supplier feeds are mapped correctly *So that* customers receive their data and we don’t share with other customers. Currently there is an issue where NZ migrations of SE may have overwritten the supplier feed connection. FILE GUID PAIRED: 7aa15a6f-75ed-490d-8d90-c6d254c81db6 FILE GUID THAT SHOULD BE PAIRED: 2962b091-c697-4214-9b6c-9c410cef14f0 |ledger|product|serial|supplierId|user| |7aa15a6f-75ed-490d-8d90-c6d254c81db6|ARL|614134293606|59cda73f-a955-496b-9823-9edebc8846df|[wedoservices2@gmail.com|mailto:wedoservices2@gmail.com]| File connected to above data- 2962b091-c697-4214-9b6c-9c410cef14f0 h3. Acceptance Criteria * -Remove current incorrectly paired supplier feed and insert the correct CFID as per above information.- DONE"
"E2E test failing for bank feed auto approval endpoint","08/Aug/25 9:04 AM","14/Aug/25 9:57 AM","08/Aug/25 4:04 PM","12/Aug/25 10:10 AM","","We are getting follow error in the E2E test for CI release pipeline ([https://huxleybuild.myob.myobcorp.net/go/tab/build/detail/Huxley-API-Deploy-CI-WebRole_V2_257/14/BDDTestsV2/9/Latest-Banking|https://huxleybuild.myob.myobcorp.net/go/tab/build/detail/Huxley-API-Deploy-CI-WebRole_V2_257/14/BDDTestsV2/9/Latest-Banking]) as screenshot indicates. the expected value is 18 but the test return 8. The sparkle team suggested it could caused by the recent feature toggle change: [https://github.com/MYOB-Technology/AccountRightDeployV2/pull/2082/files|https://github.com/MYOB-Technology/AccountRightDeployV2/pull/2082/files] Stay in touch with sparkle team, and make sure the test error is resolved before {{2025-08-13}}. Error can be validate by rerun the pipeline. [https://myob.slack.com/archives/C01SXSDGRBP/p1754553698122349|https://myob.slack.com/archives/C01SXSDGRBP/p1754553698122349|smart-link]"
"Public API Tech release 25.7","07/Aug/25 2:39 PM","11/Aug/25 6:56 AM","","08/Aug/25 8:56 AM","","* Release public API 25.7 to Prod * Make sure pipelines are all green"
"Update email in API error message to apisupport@myob.com","07/Aug/25 2:09 PM","13/Aug/25 9:07 AM","","13/Aug/25 9:07 AM","boltsupport","The email address for error messages returned via the API is currently [developers@myob.com|mailto:developers@myob.com]. This email address is no longer monitored since 2022. Can we please have the email address displayed in API error messages to the current [apisupport@myob.com|mailto:apisupport@myob.com] email address which will create a new support ticket in our zendesk ticketing queues. Example error message returned for generic 500 “Internal Server Error” {noformat}{ """"Errors"""": [ { """"Name"""": """"InternalError"""", """"Message"""": """"An exception was thrown that was not handled correctly. If this situation persists please contact developers@myob.com for further assistance."""", """"AdditionalDetails"""": null, """"ErrorCode"""": 20, """"Severity"""": """"Error"""", """"LearnMore"""": null } ], """"Information"""": """"Warning, error messages have not been finalised in this release and may change"""" }{noformat}"
